Sonnet Number,Variation Number,Variation Text
1,1,"Desire for growth in loveliest of beings,
To keep beauty's bloom from meeting end,
As aging gives way, new life life extends,
The legacy of loveliness to commend.
Yet you, confined to your own bright gaze,
Nourish your light's fire with self-same fuel,
Creating hunger in a land of bounty's maze,
An enemy unto your own self, far too cruel.
You, now the earth's resplendent decor,
And harbinger of spring in all its splendor,
In your own bud, treasure your delight,
A miserly act, wasting wonders center.
Have mercy on the world, or this insatiate wight,
Shall consume what's owed, by death and thee.

"
1,2,"In the fairest of beings, we crave increase,
Lest beauty's flower ever fade away,
As time takes elder lives, new ones release,
The memory of beauty's splendor to convey.
But you, enamored of your bright own eyes,
Feed your light's blaze with self-made sustenance,
Causing famine amidst the land's surplus supplies,
An adversary unto your own self, too harsh in recompense.
You, now the world's adorning jewel,
And lone herald of the gaudy spring,
In your own bud, your pleasure you conceal,
A niggardly act, wasting treasures like a fool.
Show pity to the world, or this gluttonous being,
Shall eat the world's share, by doom and your own doing.

"
1,3,"For fairest beings, we yearn for more to grace,
Lest beauty's rose ever lose its sheen,
As age claims elders, room for new ones to take place,
The memory of beauty's splendor to maintain.
Yet you, enamored of your bright own sphere,
Nourish your light's fire with self-same fuel,
Breeding famine amidst the land's rich bounty, my dear,
An enemy to your own self, too harsh and cruel.
You, now the world's ornament of delight,
And sole herald of the gaudy springtime scene,
In your own bud, treasure your delight,
A miserly deed, wasting riches like a queen.
Take pity on the world, or this insatiable knight,
Shall consume the world's portion, by fate and your hand."
2,1,"As forty winters carve their icy lines on your brow
And plow deep furrows in your field of charm,
The livery of your youth, so admired, will bow
To a tattered weed, of meager worth, a harm.
If asked of your beauty's fate, its grand demise,
To answer, ""In mine own eyes it resides,""
Would bring forth a shame, a regret, and waste,
A thriftless praise for your once lustrous days.

Oh, how much more fitting if you could proclaim,
""This offspring of mine, this wondrous child,
Bears the torch of my beauty, unashamed,
Preserving my allure, a progeny wild.""

Thus, reborn and anew, you'd face winter's cold,
Warmth in your blood, a spirit yet bold.

"
2,2,"When winter's hand has etched its stories on your brow
And plowed its chilling furrows in your face,
The bloom of youth, so proudly worn, will bow
To a fading glory, a memory of grace.
If asked of your beauty's remnants, lost and gone,
To say within thine own heart it remains,
Would birth a shame, a sorrow, a mournful sigh,
A hollow praise for your past days' reign.

How much more glorious if you could declare,
""This precious child of mine, this gift from above,
Carries my legacy, my flame to bear,
An everlasting beauty, a ceaseless love.""

Reborn through your offspring, your spirit takes flight,
Basking in youth, while greeting the night.

"
2,3,"When winter's snowflakes, in their multitude, assail
And carve their paths on your visage, so fair,
The bloom of your youth, once a glorious tale,
Shall fade to a shadow, a whisper, a mere.
If asked where your beauty has taken leave,
To answer, ""In mine own soul it stays,""
Would bring forth a grief, a regret, a sigh,
A praise in vain for your past days' plays.

Oh, how much more radiant if you could confess,
""This heir of mine, this paragon of grace,
Shall bear my visage, my loveliness,
An ever-renewing beauty, a warm embrace.""

Thus, reborn and refreshed, you'll face winter's might,
With warmth in your heart, and a steady light."
3,1,"Gaze upon your reflection, observe the visage
Now is the moment to create anew,
Lest you deceive the world, a transgression,
Avoided by the blessings you bestow.
Who else possesses such beauty untouched,
Rejecting nurture from a partner's hand?
Or who, so enamored with self, allows
Their lineage to cease on this mortal land?
You are the mirror of your mother's youth,
Her vibrant spring returns through you to life,
Thus, through the glass of age, you'll glimpse the truth,
Defying wrinkles, savoring golden strife.
  But if no echo of your days remains,
  Embrace solitude, and let oblivion reign.

"
3,2,"Contemplate your image, the face that stares,
A chance to craft an imprint for an heir,
If not rejuvenated, time impairs,
And orphaned mothers weep for loss and care.
Who else could boast such peerless beauty,
Refusing cultivation from a mate?
Or who, so captivated by their fate,
Would choose a grave for love of self-purity?
You bear your mother's likeness, her delight,
Her youthful spring reborn through you once more,
Through the prism of your years, you'll witness light,
Despite the lines, your gilded age will soar.
  Yet, if no trace of you remains in minds,
  Choose solitude, and let your image fade.

"
3,3,"Study the visage in the looking glass,
Now seize the instant to rejuvenate,
Lest you deceive the world, and it will pass,
Unmindful of the debt you failed to create.
Who else could claim such beauty unmarred,
Rejecting union with a lover's grace?
Or who, so captivated by their face,
Would halt their line, and leave no trace?
You are your mother's mirror, her delight,
Her youthful bloom reborn through you anew,
Through the lens of age, you'll glimpse the sight,
Defying wrinkles, your golden age imbue.
  But if no memory of you survives,
  Opt for solitude, and let your image die."
4,1,"Frugal allure, why do you hoard
Your inherited grace, kept to yourself?
Nature's endowment is not to be stored,
But lent freely, multiplying wealth.
So, why withhold the riches you possess,
Denying others their own fair share?
Your miserly ways only bring distress,
And leave no legacy but despair.
In solitude, you squander life away,
Cheating yourself, your true worth unseen.
What account can you give, on judgment day,
For the beauty you've kept locked within?
That unused treasure, buried with you,
Could have brought life, had you set it free.

"
